2016-01-04,0.3837115942028903,4278
2016-01-05,0.3689086512524027,5190
2016-01-06,0.4327592903471884,5242
2016-01-07,0.415226843783196,4705
2016-01-08,0.3622567182165021,4979
2016-01-09,0.47233105095540656,5024
2016-01-10,0.32558988952124807,5974
2016-01-11,0.3644371236133028,5048
2016-01-12,0.3692075231691709,5503
2016-01-13,0.3833067006878095,4507
2016-01-14,0.3475315810674623,4965
2016-01-15,0.15887772259666597,5638
2016-01-16,0.20905688857244328,5618
2016-01-17,0.34163054017941646,5239
2016-01-18,0.28306719606730535,5289
2016-01-19,0.31219861008153377,5396
2016-01-20,0.32065355509355387,4810
2016-01-21,0.31122846303923357,4613
2016-01-22,0.2885817681728839,5090
2016-01-23,0.21402903342366583,5535
2016-01-24,0.34368607410490626,4804
2016-01-25,0.3169901646006843,4921
2016-01-26,0.3542489413528126,5337
2016-01-27,0.39146362045497707,5143
2016-01-28,0.2597357733413938,4959
2016-01-29,0.3427571738344656,5534
2016-01-30,0.3820101668302153,5095
2016-01-31,0.2925569967809021,5281
2016-02-01,0.4007871724677252,5114
2016-02-02,0.3335487367855151,5581
2016-02-03,0.3166260773258052,4966
2016-02-04,0.35649066968955984,5734
2016-02-05,0.27473647479307217,5316
2016-02-06,0.2516184795321574,5130
2016-02-07,0.23375022514070778,5330
2016-02-08,0.2741629157427863,5412
2016-02-09,0.2928842607003814,5140
2016-02-10,0.33272933958858936,5542
2016-02-11,0.3059055494303523,5442
2016-02-12,0.3376554959785432,5222
2016-02-13,0.3210884423836446,5823
2016-02-14,0.34787665278028573,5521
2016-02-15,0.2383998214604501,5601
2016-02-16,0.3597033131456954,5614
2016-02-17,0.36360077241898653,5308
2016-02-18,0.1785607549317159,5272
2016-02-19,0.3316054307880666,4898
2016-02-20,0.3568086097794706,5215
2016-02-21,0.37359471124619037,4935
2016-02-22,0.3222687670764932,5856
2016-02-23,0.3744658899923512,5236
2016-02-24,0.336795609039122,5443
2016-02-25,0.3559717546645385,5038
2016-02-26,0.3963868274582546,1078
2016-02-27,0.3972077338476257,5185
2016-02-28,0.39504254480991263,5077
2016-02-29,0.34601949563529605,5155
2016-03-01,0.24654826677478028,4933
2016-03-02,0.35675242995996337,5247
2016-03-03,0.33784858703842136,5308
2016-03-04,0.2726872491145153,5082
2016-03-05,0.3763786938932672,5191
2016-03-06,0.3380212632404772,5098
2016-03-07,0.3381076093351545,5099
2016-03-08,0.3763786938932672,5191
2016-03-09,0.3498731923464169,4965
2016-03-10,0.33033614718613996,5082
2016-03-11,0.3224757786116235,5330
2016-03-12,0.29253614749143225,4963
2016-03-13,0.3008562881097514,5248
2016-03-14,0.30098854102404804,6484
2016-03-15,0.2669814246068414,5405
2016-03-16,0.3381389026010943,5267
2016-03-17,0.288153190676341,5234
2016-03-18,0.28817423977630224,5722
2016-03-19,0.2885745492903641,5214
2016-03-20,0.3434886883973499,5154
2016-03-21,0.355733711248887,5645
2016-03-22,0.26718441752095856,5365
2016-03-23,0.32932874062375844,5066
2016-03-24,0.32428491314198343,5296
2016-03-25,0.3808252644679387,4821
2016-03-26,0.3746017108639847,1169
2016-03-27,0.3698464187327709,5082
2016-03-28,0.3381437762504684,5238
2016-03-29,0.3466711516958536,5366
2016-03-30,0.39616431694944504,5717
2016-03-31,0.30303223728812584,5900
2016-04-01,0.3845635475852205,5632
2016-04-02,0.38036821156906614,5653
2016-04-03,0.3703564239420416,5246
2016-04-04,0.343071343226049,5189
2016-04-05,0.3664030989488871,5518
2016-04-06,0.4016246644587693,5737
2016-04-07,0.37313929085672115,5556
2016-04-08,0.35222293328498055,5516
2016-04-09,0.3803665518560914,5226
2016-04-10,0.3514143225039535,5048
2016-04-11,0.34973914997956124,4894
2016-04-12,0.31412367876621267,5317
2016-04-13,0.3267624743537044,4874
2016-04-14,0.32704141172132706,5426
2016-04-15,0.3262092836113762,5095
2016-04-16,0.2770388726350601,5127
2016-04-17,0.3497153326293459,4735
2016-04-18,0.2644667773437446,5120
2016-04-19,0.3017306656552193,5273
2016-04-20,0.26430354944603623,4874
2016-04-21,0.2903307628695402,4837
2016-04-22,0.3189694658033139,4942
2016-04-23,0.38026377733597566,5030
2016-04-24,0.3174071663920864,4856
2016-04-25,0.329306100526953,4934
2016-04-26,0.3124588537386968,4868
2016-04-27,0.3792398299813283,4823
2016-04-28,0.33429139240505784,5135
2016-04-29,0.3576448296007701,5135
2016-04-30,0.40519362613818133,5601
2016-05-01,0.36310645637334954,5421
2016-05-02,0.18729570763311865,4939
2016-05-03,0.30813922734026045,4711
2016-05-04,0.23659514731369022,4616
2016-05-05,0.20648146702280476,4867
2016-05-06,0.2078140383426082,4851
2016-05-07,0.2689917447306732,5124
2016-05-08,0.35049324792242476,5776
2016-05-09,0.3265867596484484,5234
2016-05-10,0.3604571483034681,5246
2016-05-11,0.37739885817307006,4992
2016-05-12,0.32809291998323575,4774
2016-05-13,0.28166229962397954,5053
2016-05-14,0.37939751992913295,4516
2016-05-15,0.3014645617529886,5020
2016-05-16,0.27463099912739447,4584
2016-05-17,0.33570107913668956,4448
2016-05-18,0.26552087618263864,4862
2016-05-19,0.2732430620154998,5160
2016-05-20,0.3051162568049491,5327
2016-05-21,0.31765363076348035,5357
2016-05-22,0.4097311028037328,5350
2016-05-23,0.32875007304600773,5476
2016-05-24,0.4494476584899499,6278
2016-05-25,0.3544074033552039,5484
2016-05-26,0.31587238979118143,5172
2016-05-27,0.24827160645029667,4899
2016-05-28,0.38099360150061884,4798
2016-05-29,0.3284799157007376,4745
2016-05-30,0.2800896477071434,5081
2016-05-31,0.3099834273772165,4785
2016-06-01,0.30061911604615205,4593
2016-06-02,0.2450102024453806,4989
2016-06-03,0.3025819760619547,4261
2016-06-04,0.27140120928418454,5127
2016-06-05,0.35819220485396086,4862
2016-06-06,0.2988258504875425,4615
2016-06-07,0.24017513079222366,5352
2016-06-08,0.2887698920177814,4723
2016-06-09,0.30201992948983597,4822
2016-06-10,0.3222471579857348,4627
